Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
922,Male,From 20 to 29,Housewife,"More than $150,000",Daily,Take away,Below 30 minutes,Yes,Never,More than $20,4,2,4,4,5,5,4,Never hear,No
923,Male,From 30 to 39,Housewife,"$50,000 - $100,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,2,4,4,2,4,4,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
924,Female,Above 40,Student,"Less than $25,000",Weekly,Take away,More than 3 hours,Yes,Cold drinks,Less than $10,1,2,5,5,2,3,5,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
925,Female,From 20 to 29,Housewife,"Less than $25,000",Rarely,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,2,4,4,3,4,2,5,Social Media;Through friends and word of mouth,No
926,Male,Below 20,Self-Employed,"$50,000 - $100,000",Never,Take away,More than 3 hours,No,Coffee;Sandwiches,Less than $10,1,4,1,2,2,2,1,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",No
927,Female,Below 20,Employed,"$50,000 - $100,000",Monthly,Take away,Below 30 minutes,No,Coffee,Less than $10,2,4,1,5,4,1,3,Through friends and word of mouth,Yes
928,Male,From 30 to 39,Employed,"More than $150,000",Monthly,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks,Between $10-$15,4,4,1,5,2,4,1,Starbucks Website/Apps;Social Media,No
929,Female,Below 20,Student,"$25,000 - $50,000",Never,Take away,Between 2 hours to 3 hours,No,Coffee;Cold drinks,More than $20,5,1,3,5,4,1,3,Social Media,No
930,Male,Below 20,Housewife,"$25,000 - $50,000",Monthly,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,1,2,3,5,5,2,3,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
931,Male,From 30 to 39,Housewife,"$100,000-$150,000",Monthly,Drive-thru,Below 30 minutes,No,Coffee,Between $15-$20,4,1,5,5,4,3,2,Social Media;Emails;Through friends and word of mouth,No
932,Female,Below 20,Employed,"More than $150,000",Never,Drive-thru,Below 30 minutes,Yes,Coffee,Between $10-$15,1,3,4,2,4,5,4,Social Media,No
933,Female,From 30 to 39,Self-Employed,"$25,000 - $50,000",Never,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,4,1,4,1,1,3,2,Social Media;Through friends and word of mouth,No
934,Male,From 20 to 29,Self-Employed,"More than $150,000",Never,Take away,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,5,1,1,5,3,5,1,"Social Media;Deal sites (fave, iprice, etc...)",No
935,Male,Below 20,Self-Employed,"$25,000 - $50,000",Daily,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,4,1,4,1,5,1,3,Starbucks Website/Apps,No
936,Female,Above 40,Employed,"Less than $25,000",Monthly,Dine in,Between 1 hour to 2 hours,Yes,Never buy any,Between $10-$15,1,1,1,3,2,4,3,Starbucks Website/Apps,Yes
937,Male,From 20 to 29,Self-Employed,"$100,000-$150,000",Monthly,Drive-thru,Below 30 minutes,No,Cold drinks,Between $15-$20,1,3,2,5,3,2,3,Starbucks Website/Apps,Yes
938,Male,Below 20,Student,"$100,000-$150,000",Rarely,Dine in,Between 1 hour to 2 hours,No,Coffee,Less than $10,4,2,3,1,3,2,5,Social Media,Yes
939,Male,Above 40,Employed,"Less than $25,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,More than $20,1,4,5,1,5,5,3,In Store displays,No
940,Female,Above 40,Self-Employed,"Less than $25,000",Weekly,Dine in,More than 3 hours,Yes,Jaws chip ,Between $10-$15,3,5,2,5,1,1,3,Starbucks Website/Apps;Emails,No
941,Female,From 20 to 29,Employed,"$50,000 - $100,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,1,5,5,5,2,2,1,Social Media;Through friends and word of mouth,Yes
942,Male,Above 40,Employed,"$50,000 - $100,000",Monthly,Take away,Between 1 hour to 2 hours,No,Coffee,More than $20,2,5,3,2,3,3,2,Social Media;Through friends and word of mouth,Yes
943,Male,Above 40,Housewife,"More than $150,000",Monthly,Dine in,Below 30 minutes,No,cake ,Between $10-$15,2,2,1,3,2,5,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
944,Female,Below 20,Student,"More than $150,000",Monthly,Take away,Between 2 hours to 3 hours,Yes,Cold drinks,Between $15-$20,3,2,1,1,2,2,3,Starbucks Website/Apps,Yes
945,Male,From 20 to 29,Employed,"$25,000 - $50,000",Monthly,Take away,Below 30 minutes,No,Coffee,Between $10-$15,5,5,2,4,5,2,3,Emails,Yes
946,Male,From 20 to 29,Student,"Less than $25,000",Weekly,Dine in,Between 2 hours to 3 hours,Yes,Coffee;Pastries,Between $15-$20,1,2,2,5,3,4,1,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
947,Female,Below 20,Housewife,"$50,000 - $100,000",Monthly,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,4,5,5,5,5,5,3,Social Media,Yes
948,Female,Below 20,Student,"More than $150,000",Monthly,I dont like coffee,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,1,1,3,2,2,5,3,Social Media;In Store displays,No
949,Female,Above 40,Employed,"$25,000 - $50,000",Never,Drive-thru,Below 30 minutes,Yes,Coffee,Between $15-$20,3,1,2,5,3,5,1,Social Media;Through friends and word of mouth,Yes
950,Male,From 30 to 39,Student,"$50,000 - $100,000",Daily,Drive-thru,Below 30 minutes,Yes,Cold drinks,Between $10-$15,2,3,4,1,5,3,5,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
951,Male,From 20 to 29,Student,"$50,000 - $100,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,No,Cold drinks,Between $15-$20,2,4,1,1,1,4,2,Social Media;Through friends and word of mouth,No
952,Female,From 20 to 29,Housewife,"$100,000-$150,000",Daily,Dine in,Between 2 hours to 3 hours,Yes,Pastries,Between $15-$20,1,3,3,5,3,4,3,Social Media,Yes
953,Female,From 30 to 39,Student,"More than $150,000",Weekly,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,2,2,2,3,2,2,5,Starbucks Website/Apps;Emails,No
954,Male,Above 40,Housewife,"$50,000 - $100,000",Daily,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,4,1,2,5,5,3,5,Social Media,No
955,Male,Below 20,Employed,"More than $150,000",Rarely,Drive-thru,More than 3 hours,No,Cold drinks,Less than $10,2,4,2,1,1,3,1,Through friends and word of mouth,No
956,Male,From 30 to 39,Housewife,"Less than $25,000",Weekly,Drive-thru,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,2,5,4,5,5,1,2,Through friends and word of mouth,Yes
957,Female,From 30 to 39,Student,"$25,000 - $50,000",Weekly,Take away,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,3,2,4,4,3,3,5,Social Media;Emails,Yes
958,Female,Above 40,Student,"$100,000-$150,000",Monthly,Never,Between 1 hour to 2 hours,Yes,Coffee;Pastries,More than $20,2,1,4,1,5,1,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
959,Male,Below 20,Self-Employed,"$100,000-$150,000",Weekly,never,Below 30 minutes,Yes,Pastries,Between $15-$20,4,3,4,4,5,2,2,Social Media;Emails,Yes
960,Female,From 30 to 39,Student,"More than $150,000",Never,Dine in,Between 1 hour to 2 hours,No,Cold drinks,More than $20,4,1,4,1,1,5,1,Starbucks Website/Apps,Yes
961,Female,Below 20,Housewife,"$50,000 - $100,000",Daily,Take away,Below 30 minutes,No,Coffee,More than $20,2,3,5,1,4,1,3,Starbucks Website/Apps;Social Media,No
962,Female,From 20 to 29,Self-Employed,"More than $150,000",Never,Take away,Between 30 minutes to 1 hour,No,Cold drinks;Never,Less than $10,2,5,5,2,3,3,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
963,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Rarely,Never ,Between 1 hour to 2 hours,No,never,Between $10-$15,1,3,4,5,5,3,4,Through friends and word of mouth,No
964,Male,From 20 to 29,Self-Employed,"$25,000 - $50,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Pastries,More than $20,4,5,1,4,5,2,4,Social Media,No
965,Female,Below 20,Student,"$25,000 - $50,000",Monthly,Dine in,Between 2 hours to 3 hours,No,Cold drinks,Between $10-$15,4,2,2,1,5,1,5,Social Media,No
966,Male,Below 20,Self-Employed,"$25,000 - $50,000",Rarely,Take away,More than 3 hours,No,Cold drinks,Between $10-$15,3,3,2,4,4,3,1,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
967,Female,From 20 to 29,Employed,"Less than $25,000",Never,Dine in,Between 1 hour to 2 hours,No,Nothing ,Between $10-$15,3,3,4,4,4,2,3,Billboards,No
968,Female,From 30 to 39,Student,"$100,000-$150,000",Weekly,Dine in,Below 30 minutes,Yes,Cold drinks,Less than $10,1,3,2,3,4,3,2,Social Media,Yes
969,Male,Below 20,Housewife,"More than $150,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,2,4,5,1,1,5,4,In Store displays,No
970,Female,Below 20,Student,"$100,000-$150,000",Daily,Dine in,Between 1 hour to 2 hours,No,Cold drinks,More than $20,3,3,4,1,1,2,3,Social Media;Through friends and word of mouth,No
971,Female,Below 20,Employed,"$25,000 - $50,000",Daily,Take away,Below 30 minutes,Yes,Cold drinks,Less than $10,3,1,4,1,1,4,3,Social Media,No
972,Male,From 20 to 29,Housewife,"$25,000 - $50,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Coffee,Less than $10,5,1,4,3,3,5,4,Starbucks Website/Apps;Social Media,No
973,Female,From 30 to 39,Student,"$100,000-$150,000",Daily,Dine in,Between 1 hour to 2 hours,No,Coffee;Cold drinks;Juices;Pastries;Sandwiches,Between $15-$20,4,1,1,2,3,2,5,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
974,Female,From 20 to 29,Student,"$50,000 - $100,000",Daily,Take away,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks,More than $20,2,4,2,5,5,5,4,Social Media;Through friends and word of mouth;In Store displays,No
975,Male,From 30 to 39,Housewife,"$100,000-$150,000",Never,Take away,Below 30 minutes,Yes,Coffee,Less than $10,4,1,3,5,4,4,1,Social Media;Through friends and word of mouth;Billboards,Yes
976,Female,Above 40,Housewife,"$25,000 - $50,000",Monthly,Never ,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,4,5,1,1,3,1,4,In Store displays,Yes
977,Female,Below 20,Housewife,"$100,000-$150,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,5,5,4,5,2,1,4,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",Yes
978,Female,Above 40,Student,"Less than $25,000",Daily,Dine in,Between 1 hour to 2 hours,No,Cold drinks;Pastries,More than $20,4,2,5,4,5,5,1,Social Media;In Store displays,No
979,Male,Below 20,Student,"$50,000 - $100,000",Never,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,1,5,4,4,5,4,1,In Store displays;Billboards,Yes
980,Male,Above 40,Housewife,"$100,000-$150,000",Never,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,2,2,3,1,3,4,4,Through friends and word of mouth,Yes
981,Male,From 20 to 29,Employed,"More than $150,000",Never,Dine in,Between 1 hour to 2 hours,No,Coffee;Sandwiches,Less than $10,4,2,5,3,3,5,3,Starbucks Website/Apps;Social Media,No
982,Male,From 20 to 29,Housewife,"More than $150,000",Daily,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,More than $20,4,4,5,1,3,5,5,Social Media,Yes
983,Female,Below 20,Employed,"$25,000 - $50,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,3,1,5,1,5,4,5,Starbucks Website/Apps;Social Media,Yes
984,Male,From 30 to 39,Self-Employed,"More than $150,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks,Between $15-$20,2,4,4,4,3,3,1,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
985,Male,Below 20,Student,"More than $150,000",Rarely,Dine in,Below 30 minutes,No,Cold drinks,More than $20,4,1,3,2,1,4,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
986,Male,Above 40,Employed,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,3,4,4,2,2,3,5,Social Media;Through friends and word of mouth,Yes
987,Female,From 30 to 39,Employed,"$50,000 - $100,000",Rarely,Take away,More than 3 hours,No,Cold drinks,Less than $10,5,4,1,1,4,3,4,Social Media,Yes
988,Male,From 30 to 39,Employed,"$25,000 - $50,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,2,4,4,3,4,1,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
989,Male,From 30 to 39,Student,"$25,000 - $50,000",Never,Never ,More than 3 hours,No,Coffee;Sandwiches,Between $10-$15,1,3,2,5,3,5,5,Social Media,No
990,Female,Below 20,Self-Employed,"$25,000 - $50,000",Weekly,Take away,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,2,4,4,4,3,3,3,Social Media,No
991,Female,Above 40,Student,"More than $150,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,4,2,1,1,5,4,5,Social Media;Through friends and word of mouth;In Store displays,Yes
992,Female,Above 40,Self-Employed,"Less than $25,000",Rarely,Take away,Below 30 minutes,Yes,Coffee,Between $15-$20,2,1,4,3,3,1,3,Starbucks Website/Apps,No
993,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,2,1,3,4,2,2,4,Social Media,Yes
994,Female,Above 40,Self-Employed,"Less than $25,000",Daily,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,3,5,2,4,2,3,1,Social Media;Through friends and word of mouth,No
995,Female,From 30 to 39,Employed,"More than $150,000",Daily,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,4,1,2,5,5,4,1,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
996,Male,Below 20,Student,"$25,000 - $50,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $10-$15,1,1,3,1,5,5,1,Emails,No
997,Male,Above 40,Student,"Less than $25,000",Monthly,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,3,5,5,5,5,2,5,Social Media;Emails,Yes
998,Male,From 30 to 39,Student,"Less than $25,000",Daily,Dine in,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,1,5,2,3,4,2,1,Social Media,No
999,Female,From 30 to 39,Self-Employed,"$100,000-$150,000",Daily,Dine in,More than 3 hours,No,Coffee,Between $15-$20,3,5,4,3,4,5,4,Through friends and word of mouth,Yes
1000,Male,Above 40,Self-Employed,"$100,000-$150,000",Daily,Dine in,Between 30 minutes to 1 hour,No,Cold drinks;Pastries;Sandwiches,Between $15-$20,3,1,5,1,4,5,2,Social Media;Through friends and word of mouth,No
1001,Male,Above 40,Student,"$25,000 - $50,000",Never,Take away,More than 3 hours,Yes,Coffee;Juices;Pastries;Sandwiches,Less than $10,1,3,1,4,3,2,1,Through friends and word of mouth;In Store displays,Yes
1002,Female,Below 20,Self-Employed,"$50,000 - $100,000",Monthly,Dine in,Between 1 hour to 2 hours,No,Coffee;Cold drinks,More than $20,4,3,5,1,4,3,5,Social Media;In Store displays;Billboards,Yes
1003,Female,Above 40,Employed,"Less than $25,000",Weekly,Take away,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,2,1,3,3,4,4,2,Application offer,Yes
1004,Male,Above 40,Student,"Less than $25,000",Weekly,Take away,Below 30 minutes,Yes,Coffee,More than $20,1,3,2,5,5,5,1,Social Media,No
1005,Male,From 20 to 29,Self-Employed,"$100,000-$150,000",Never,Dine in,More than 3 hours,No,Coffee,More than $20,1,5,3,2,4,5,2,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,Yes
1006,Male,From 30 to 39,Student,"$25,000 - $50,000",Weekly,Take away,Between 30 minutes to 1 hour,No,Coffee,Less than $10,4,1,1,1,2,3,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1007,Male,From 30 to 39,Housewife,"$25,000 - $50,000",Never,I dont like coffee,Between 30 minutes to 1 hour,Yes,Coffee;Pastries;Sandwiches,More than $20,4,3,2,4,3,4,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
1008,Female,From 20 to 29,Employed,"More than $150,000",Weekly,Drive-thru,Between 30 minutes to 1 hour,Yes,Coffee;Pastries,More than $20,2,4,1,4,5,1,1,In Store displays,No
1009,Female,Below 20,Self-Employed,"More than $150,000",Weekly,Drive-thru,More than 3 hours,Yes,Coffee,Less than $10,3,5,1,2,2,2,5,Social Media,No
1010,Female,Below 20,Housewife,"Less than $25,000",Rarely,Drive-thru,Between 1 hour to 2 hours,No,Coffee,Less than $10,3,4,5,4,2,2,2,Social Media,Yes
1011,Male,From 20 to 29,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,4,2,1,4,2,2,2,Social Media;Through friends and word of mouth;Billboards,Yes
1012,Female,Above 40,Student,"More than $150,000",Monthly,Drive-thru,Below 30 minutes,No,Coffee,Between $15-$20,4,2,1,4,1,4,4,Social Media,No
1013,Female,Above 40,Student,"More than $150,000",Weekly,Dine in,Between 2 hours to 3 hours,No,Cold drinks,Less than $10,1,4,3,5,5,3,3,Social Media,Yes
1014,Male,From 30 to 39,Housewife,"More than $150,000",Never,Drive-thru,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,1,2,1,4,5,4,4,Starbucks Website/Apps;Social Media,No
1015,Female,Below 20,Housewife,"More than $150,000",Never,Drive-thru,Between 30 minutes to 1 hour,No,Cold drinks;Juices;Pastries,More than $20,2,4,3,2,2,2,4,In Store displays,Yes
1016,Female,Below 20,Housewife,"Less than $25,000",Monthly,Take away,Between 2 hours to 3 hours,Yes,Coffee,More than $20,4,5,2,5,1,2,5,Starbucks Website/Apps;Social Media,No
1017,Male,From 30 to 39,Housewife,"More than $150,000",Monthly,Never,Below 30 minutes,No,Coffee,Between $15-$20,1,2,3,4,4,5,5,Social Media,Yes
1018,Male,Above 40,Self-Employed,"$25,000 - $50,000",Rarely,never,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,4,4,4,5,2,5,2,Starbucks Website/Apps;Social Media,No
1019,Female,From 30 to 39,Self-Employed,"Less than $25,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,2,1,3,3,1,3,1,Social Media,No
1020,Female,Above 40,Housewife,"$100,000-$150,000",Weekly,Take away,Below 30 minutes,No,Coffee;Pastries,More than $20,4,2,4,4,4,2,2,Starbucks Website/Apps;Social Media;Emails;Billboards,Yes
1021,Male,From 20 to 29,Housewife,"$100,000-$150,000",Daily,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,2,5,2,5,5,5,5,Social Media,Yes
1022,Male,From 20 to 29,Student,"More than $150,000",Monthly,Never ,Between 2 hours to 3 hours,Yes,Coffee;Pastries,Between $15-$20,4,3,4,4,5,4,5,Social Media,Yes
1023,Male,From 20 to 29,Student,"Less than $25,000",Rarely,Take away,Below 30 minutes,Yes,Cold drinks,Less than $10,1,3,1,1,2,2,3,Through friends and word of mouth,No
1024,Male,Below 20,Student,"More than $150,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,4,4,5,4,2,3,2,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
1025,Male,Below 20,Self-Employed,"More than $150,000",Never,Take away,Between 1 hour to 2 hours,Yes,Cold drinks,More than $20,5,1,3,2,3,1,3,Social Media;Through friends and word of mouth,Yes
1026,Female,From 30 to 39,Student,"$50,000 - $100,000",Never,Dine in,Below 30 minutes,No,Cold drinks,More than $20,2,2,1,3,4,5,3,Social Media,Yes
1027,Female,From 30 to 39,Employed,"$50,000 - $100,000",Monthly,Dine in,Between 30 minutes to 1 hour,No,Coffee,Less than $10,1,2,5,4,5,4,2,Social Media;In Store displays,Yes
1028,Female,From 30 to 39,Student,"$50,000 - $100,000",Rarely,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,1,4,4,2,5,2,1,Social Media;Through friends and word of mouth,No
1029,Male,From 30 to 39,Employed,"Less than $25,000",Monthly,Dine in,Below 30 minutes,No,Cold drinks;Juices;Pastries,More than $20,3,4,3,2,1,3,2,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
1030,Female,Above 40,Housewife,"Less than $25,000",Rarely,Take away,More than 3 hours,Yes,Coffee,Between $15-$20,2,3,5,4,4,2,4,Social Media,No
1031,Female,From 30 to 39,Housewife,"$100,000-$150,000",Never,Dine in,Below 30 minutes,Yes,Coffee,Between $15-$20,3,5,3,2,2,4,1,Social Media;Through friends and word of mouth,Yes
1032,Male,Below 20,Student,"$100,000-$150,000",Daily,Dine in,More than 3 hours,No,Coffee,Between $10-$15,4,2,2,3,5,3,3,Starbucks Website/Apps,Yes
1033,Male,From 20 to 29,Housewife,"Less than $25,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Coffee;Cold drinks,Between $15-$20,3,5,3,4,3,5,3,In Store displays,Yes
1034,Male,From 30 to 39,Housewife,"$50,000 - $100,000",Never,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,2,3,3,2,2,4,4,Through friends and word of mouth,Yes
1035,Female,Above 40,Student,"More than $150,000",Weekly,Dine in,More than 3 hours,Yes,Coffee,Less than $10,3,4,1,4,2,3,3,Social Media,Yes
1036,Female,From 20 to 29,Student,"$25,000 - $50,000",Monthly,Take away,Between 1 hour to 2 hours,Yes,Cold drinks,Between $10-$15,3,5,4,1,2,3,1,Starbucks Website/Apps;Social Media,No
1037,Male,From 30 to 39,Housewife,"More than $150,000",Rarely,Take away,Below 30 minutes,No,Coffee,Between $15-$20,4,2,2,1,2,2,1,Social Media,No
1038,Female,From 30 to 39,Employed,"Less than $25,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks,More than $20,2,5,5,1,2,4,1,In Store displays,Yes
1039,Female,Below 20,Employed,"$25,000 - $50,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,4,1,4,2,2,3,5,Social Media,No
1040,Male,From 20 to 29,Housewife,"$100,000-$150,000",Daily,I dont like coffee,Between 30 minutes to 1 hour,No,Coffee,Less than $10,1,3,4,2,5,2,2,Social Media;Through friends and word of mouth,No
1041,Female,From 30 to 39,Self-Employed,"$100,000-$150,000",Never,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,3,1,3,3,5,2,1,Social Media,No
1042,Male,From 30 to 39,Student,"$25,000 - $50,000",Weekly,Drive-thru,Below 30 minutes,Yes,Coffee,Less than $10,4,2,3,5,1,4,3,Through friends and word of mouth,Yes
1043,Male,From 20 to 29,Student,"$25,000 - $50,000",Rarely,Drive-thru,Below 30 minutes,Yes,Coffee;Cold drinks;Pastries;Sandwiches,Less than $10,5,3,3,5,4,5,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
1044,Female,Below 20,Employed,"More than $150,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Never,More than $20,2,3,1,2,5,2,3,Never hear,No
1045,Female,From 30 to 39,Student,"More than $150,000",Weekly,Drive-thru,Below 30 minutes,No,Coffee,Between $10-$15,4,4,2,4,3,4,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
1046,Female,From 20 to 29,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Between $15-$20,5,2,4,1,1,2,5,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
1047,Male,Below 20,Employed,"More than $150,000",Weekly,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,2,2,3,1,3,5,3,Social Media;Through friends and word of mouth,Yes
1048,Female,Below 20,Self-Employed,"Less than $25,000",Daily,Drive-thru,Below 30 minutes,Yes,Coffee;Sandwiches,Between $10-$15,2,3,2,1,4,5,2,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",Yes
1049,Female,Above 40,Employed,"Less than $25,000",Monthly,Take away,Between 1 hour to 2 hours,No,Coffee,More than $20,4,1,5,2,3,4,3,Through friends and word of mouth,Yes
1050,Male,Above 40,Housewife,"Less than $25,000",Monthly,Never,Between 2 hours to 3 hours,Yes,Cold drinks,Between $15-$20,2,3,3,4,4,1,3,Starbucks Website/Apps;Social Media,No
1051,Female,Below 20,Housewife,"$25,000 - $50,000",Weekly,never,Below 30 minutes,No,Coffee;Cold drinks,Between $10-$15,1,3,2,5,2,1,5,Social Media,Yes
1052,Male,From 30 to 39,Student,"More than $150,000",Never,Dine in,More than 3 hours,Yes,Coffee,Between $15-$20,3,5,2,1,3,2,3,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",No
1053,Female,Above 40,Housewife,"Less than $25,000",Never,Take away,Between 1 hour to 2 hours,No,Coffee,Less than $10,1,1,1,2,3,3,3,Social Media;Emails;Through friends and word of mouth,No
1054,Female,Above 40,Employed,"Less than $25,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Less than $10,1,1,1,3,1,2,5,Social Media,No
1055,Female,Above 40,Employed,"$100,000-$150,000",Rarely,Never ,Between 2 hours to 3 hours,No,Coffee,Less than $10,5,5,5,3,5,1,1,Social Media;Through friends and word of mouth,No
1056,Male,Above 40,Self-Employed,"$25,000 - $50,000",Weekly,Take away,More than 3 hours,Yes,Cold drinks,Less than $10,4,2,2,3,3,3,3,"Social Media;Deal sites (fave, iprice, etc...)",No
1057,Female,From 20 to 29,Housewife,"$100,000-$150,000",Rarely,Dine in,Between 30 minutes to 1 hour,No,Coffee,Less than $10,2,2,3,3,1,5,1,Starbucks Website/Apps,Yes
1058,Female,Below 20,Housewife,"More than $150,000",Weekly,Take away,Between 1 hour to 2 hours,No,Never buy any,Between $10-$15,3,1,4,2,4,1,3,Starbucks Website/Apps,No
1059,Male,From 30 to 39,Employed,"Less than $25,000",Rarely,Dine in,More than 3 hours,Yes,Cold drinks,Less than $10,3,1,3,2,3,4,4,Starbucks Website/Apps,No
1060,Female,From 30 to 39,Student,"Less than $25,000",Never,Dine in,Below 30 minutes,No,Coffee,Between $10-$15,2,2,4,3,3,2,3,Social Media,Yes
1061,Female,From 30 to 39,Employed,"$100,000-$150,000",Rarely,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,1,1,1,4,3,3,5,In Store displays,Yes
